categoria,atributo,valor,fuente
Computadores,generacion_procesador,Raptor Lake-P (10 nm),solotodo
Computadores,generacion_procesador,Raptor Lake-U (10 nm),solotodo
Computadores,generacion_procesador,Raptor Lake-U Refresh (10 nm),solotodo
Computadores,generacion_procesador,Raven Ridge (14 nm),solotodo
Computadores,generacion_procesador,Rembrandt R (Zen 3+) (6 nm),solotodo
Computadores,generacion_procesador,Richland (32 nm),solotodo
Computadores,generacion_procesador,Sable (65 nm),solotodo
Computadores,generacion_procesador,Sandy Bridge (32 nm),solotodo
Computadores,generacion_procesador,Silvermont (22 nm),solotodo
Computadores,generacion_procesador,Silverthorne (45 nm),solotodo
Computadores,generacion_procesador,Skylake (14 nm),solotodo
Computadores,generacion_procesador,Skylake-U (14 nm),solotodo
Computadores,generacion_procesador,Stoney Ridge (28 nm),solotodo
Computadores,generacion_procesador,Strix Halo Pro (Zen 5) (TSMC N4),solotodo
Computadores,generacion_procesador,Strix Point (Zen 5) (4 nm),solotodo
Computadores,generacion_procesador,Summit Ridge (14 nm),solotodo
Computadores,generacion_procesador,Temash (28 nm),solotodo
Computadores,generacion_procesador,Tiger Lake-H35 (10 nm),solotodo
Computadores,generacion_procesador,Tiger Lake-H45 (10 nm),solotodo
Computadores,generacion_procesador,Tiger Lake-U (10 nm),solotodo
Computadores,generacion_procesador,Tiger Lake-UP3 (10 nm),solotodo
Computadores,generacion_procesador,Tiger Lake-UP4 (10 nm),solotodo
Computadores,generacion_procesador,Trinidad (90 nm),solotodo
Computadores,generacion_procesador,Trinity (32 nm),solotodo
Computadores,generacion_procesador,Tyler (65 nm),solotodo
Computadores,generacion_procesador,Whiskey Lake (14 nm),solotodo
Computadores,generacion_procesador,Yonah (65 nm),solotodo
Computadores,generacion_procesador,Zacate (40 nm),solotodo
Computadores,generacion_procesador,Zen (14 nm),solotodo
Computadores,generacion_procesador,Zen 2 (7 nm),solotodo
Computadores,generacion_procesador,Zen 3 (7 nm),solotodo
Computadores,generacion_procesador,Zen 3+ (6 nm),solotodo
Computadores,generacion_procesador,Zen 4 (4 nm),solotodo
Computadores,generacion_procesador,Zen+ (12 nm),solotodo
Computadores,tecnologia_ram,DDR,solotodo
Computadores,tecnologia_ram,DDR2,solotodo
Computadores,tecnologia_ram,DDR3,solotodo
Computadores,tecnologia_ram,DDR3L,solotodo
Computadores,tecnologia_ram,DDR4,solotodo
Computadores,tecnologia_ram,DDR4 ECC,solotodo
Computadores,tecnologia_ram,DDR4L,solotodo
Computadores,tecnologia_ram,DDR5,solotodo
Computadores,tecnologia_ram,LPDDR3,solotodo
Computadores,tecnologia_ram,LPDDR4,solotodo
Computadores,tecnologia_ram,LPDDR4X,solotodo
Computadores,tecnologia_ram,LPDDR5,solotodo
